Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,Margin of Safety,Business Predictability,Fair Value,Fair Value - Price,Baggers
AMTD,AMTD IDEA Group American Depositary Shares each representing six (6) Class A Ordinary Shares,1.7,-0.03,-0.01734,81643753.0,,,37886,,,99.93,0.0,"$ 2,253.65",2251.9500000000003,1324.6764705882356
MESO,Mesoblast Limited American Depositary Shares,1.97,-0.12,-0.05742,200022421.0,Australia,2015.0,115105,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),99.67,1.0,$ 610.96,608.99,309.1319796954315
KXIN,Kaixin Auto Holdings Ordinary Shares,0.2369,0.0018,0.00766,6271702.0,China,2017.0,542603,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,99.63,0.0,$ 67.86,67.6231,285.4499788940481
GDC,GD Culture Group Limited Common Stock,2.07,0.12,0.06154,12116571.0,China,2015.0,186357,Industrials,Steel/Iron Ore,99.46,0.0,$ 385.00,382.93,184.99033816425123
IMPP,Imperial Petroleum Inc. Common Shares,3.13,-0.06,-0.01881,50893800.0,Greece,,343818,Consumer Discretionary,Marine Transportation,99.31,1.0,$ 441.72,438.59000000000003,140.12460063897765
RHE,Regional Health Properties Inc. Common Stock,2.48,0.0,0.0,4669909.0,,2017.0,1285,Real Estate,Real Estate,99.21,1.0,$ 289.26,286.78,115.63709677419354
XCUR,Exicure Inc. Common Stock,0.7101,0.0451,0.06782,6141163.0,United States,,59858,Health Care,Biotechnology: Pharmaceutical Preparations,98.69,0.0,$ 51.88,51.169900000000005,72.06013237572174
FAMI,Farmmi Inc. Ordinary Shares,1.06,-0.04,-0.03636,6459723.0,China,2018.0,87434,Consumer Staples,Packaged Foods,97.91,0.0,$ 51.30,50.239999999999995,47.39622641509433
BKKT,Bakkt Holdings Inc. Class A Common Stock,0.58,-0.44,-0.43137,159305322.0,United States,,38635802,Technology,Computer Software: Prepackaged Software,97.75,0.0,$ 27.12,26.540000000000003,45.75862068965518
DEC,Diversified Energy Company plc Ordinary Shares,12.32,-1.09,-0.08128,593563247.0,,,347303,,,97.54,0.0,$ 499.06,486.74,39.508116883116884
FATH,Fathom Digital Manufacturing Corporation Class A Common Stock,4.65,0.24,0.05442,31780253.0,,2021.0,69909,Technology,Computer peripheral equipment,97.38,0.0,$ 171.92,167.26999999999998,35.97204301075268
BON,Bon Natural Life Limited Ordinary Shares,0.4655,0.005,0.01086,6185872.0,China,2021.0,32953,Health Care, Medicinal Chemicals and Botanical Products ,96.99,0.0,$ 15.63,15.1645,32.576799140708914
VCSA,Vacasa Inc. Class A Common Stock,9.45,-1.81,-0.16075,210314900.0,United States,,272818,Technology,Computer Software: Prepackaged Software,96.49,0.0,$ 258.62,249.17000000000002,26.36719576719577
SCYX,SCYNEXIS Inc. Common Stock,1.62,-0.08,-0.04706,60276634.0,United States,2014.0,164470,Health Care,Biotechnology: Pharmaceutical Preparations,96.19,1.0,$ 42.50,40.88,25.234567901234566
TXMD,TherapeuticsMD Inc. Common Stock,2.4,0.03,0.01266,25380576.0,United States,,13183,Health Care,Biotechnology: Pharmaceutical Preparations,95.52,1.0,$ 55.86,53.46,22.275000000000002
PRE,Prenetics Global Limited Class A Ordinary Share,4.94,0.08,0.01646,59369547.0,Hong Kong,,98586,Industrials,Biotechnology: Laboratory Analytical Instruments,95.76,0.0,$ 114.56,109.62,22.190283400809715
ASRT,Assertio Holdings Inc. Common Stock,0.8839,0.0367,0.04332,83677507.0,United States,,597226,Health Care,Biotechnology: Pharmaceutical Preparations,95.37,1.0,$ 19.85,18.9661,21.45729154881774
TANH,Tantech Holdings Ltd. Common Shares,0.705,-0.007,-0.00983,1565100.0,China,2015.0,89726,Industrials,Major Chemicals,95.39,1.0,$ 15.82,15.115,21.43971631205674
MEIP,MEI Pharma Inc. Common Stock,4.15,-0.05,-0.0119,27650857.0,United States,2003.0,16640,Health Care,Biotechnology: Pharmaceutical Preparations,94.25,1.0,$ 73.88,69.72999999999999,16.802409638554213
CHR,Cheer Holding Inc. Ordinary Share,2.4,-0.01,-0.00415,24092273.0,China,2018.0,2063,Technology,EDP Services,94.16,0.0,$ 40.39,37.99,15.829166666666667
NCPL,Netcapital Inc. Common Stock,0.145,0.01,0.07407,1371574.0,United States,,772624,Finance,Investment Managers,93.8,0.0,$ 2.42,2.275,15.689655172413794
VOD,Vodafone Group Plc American Depositary Shares,8.94,0.27,0.03114,24208076101.0,United Kingdom,,11524732,Telecommunications,Telecommunications Equipment,93.57,1.0,$ 141.08,132.14000000000001,14.780760626398212
AMPY,Amplify Energy Corp. Common Stock,6.04,-0.04,-0.00658,236144068.0,United States,2016.0,262273,Energy,Oil & Gas Production,93.36,1.0,$ 92.79,86.75,14.362582781456954
BAER,Bridger Aerospace Group Holdings Inc. Common Stock,5.0,0.05,0.0101,223884630.0,United States,,21631,Finance,Blank Checks,93.29,0.0,$ 74.55,69.55,13.91
HYW,Hywin Holdings Ltd. American Depositary Shares,1.35,0.01,0.00746,37800000.0,China,2021.0,9673,Finance,Investment Managers,93.25,0.0,$ 19.84,18.49,13.696296296296294
GSL,Global Ship Lease Inc New Class A Common Shares,20.35,0.12,0.00593,732396500.0,United Kingdom,,563026,Consumer Discretionary,Marine Transportation,93.09,1.0,$ 298.09,277.73999999999995,13.648157248157245
TOPS,TOP Ships Inc. Common Stock,13.67,-0.06,-0.00437,23177594.0,Greece,2004.0,7559,Consumer Discretionary,Marine Transportation,93.13,0.0,$ 198.89,185.22,13.549378200438918
BENF,Beneficient Class A Common Stock,0.1299,-0.0171,-0.11633,4339866998.37426,United States,,2591446,Finance,Blank Checks,94.05,0.0,$ 1.85,1.7201000000000002,13.241724403387224
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,21.28,0.42,0.02013,1664195271.0,China,2010.0,8750016,Technology,Semiconductors,92.4,1.0,$ 301.25,279.97,13.156484962406015
GTIM,Good Times Restaurants Inc. Common Stock,2.3,-0.07,-0.02954,25737950.0,United States,,34714,Consumer Discretionary,Restaurants,92.37,1.0,$ 31.06,28.759999999999998,12.504347826086956
ESEA,Euroseas Ltd. Common Stock (Marshall Islands),38.9,3.22,0.09025,272689000.0,Greece,,45702,Consumer Discretionary,Marine Transportation,92.34,1.0,$ 514.08,475.18000000000006,12.215424164524423
AMBC,Ambac Financial Group Inc. Common Stock,16.36,-0.58,-0.03424,739382625.0,United States,,625225,Finance,Property-Casualty Insurers,92.03,1.0,$ 204.69,188.32999999999998,11.51161369193154
REI,Ring Energy Inc. Common Stock,1.43,0.03,0.02143,279751330.0,United States,,1472446,Energy,Oil & Gas Production,91.32,1.0,$ 16.94,15.510000000000002,10.846153846153848
EGRX,Eagle Pharmaceuticals Inc. Common Stock,5.86,-0.41,-0.06539,76103650.0,United States,2014.0,154847,Health Care,Biotechnology: Pharmaceutical Preparations,90.49,1.0,$ 68.13,62.269999999999996,10.626279863481228
