Ticker,P/B Ratio
BWFG,0.819
MNSB,0.563
FCNCA,1.267
MCB,0.843
OPBK,0.951
OSBC,1.2
CIVB,0.676
SSBK,1.224
FSBW,1.205
UNTY,1.222
BY,1.158
FINW,0.978
MBIN,1.075
ORRF,1.323
CUBI,0.912
FUNC,1.14
AMAL,1.513
CBNK,1.309
CASH,2.158
CFBK,0.818
MRBK,0.799
BFST,0.917
OBT,1.857
CFB,1.195
CBAN,0.984
TSBK,1.019
BCML,0.817
PKBK,0.846
SNEX,1.562
WAL,1.379
BWB,0.849
OVLY,1.272
CCBG,1.254
HBCP,0.92
ESQ,2.181
FMNB,1.418
TCBX,0.796
SMBK,1.024
EFSC,1.119
OBK,0.925
VBTX,0.849
BPOP,1.339
RBB,1.404
ZION,1.19
CFG,0.804
PBHC,0.561
BPRN,0.948
EGBN,0.561
UBCP,1.123
ISTR,0.787
DCOM,0.762
HNVR,0.668
SNV,1.307
CCB,2.239
QCRH,1.382
ABCB,1.168
FISI,0.841
BAC,1.066
JMSB,1.17
FBMS,1.083
BOTJ,0.981
EWBC,1.579
TBBK,3.31
PFC,0.909
SPFI,1.34
OPY,0.658
NIC,1.334
FCF,1.269
EBMT,0.683
RF,1.216
PCB,0.755
MPB,0.871
CATY,1.133
WBS,3.58
MBWM,1.328
CHMG,1.112
IBOC,1.493
HTBK,0.904
UBFO,1.074
BANR,1.203
MYFW,0.695
HWC,1.149
EBTC,1.11
RVSB,0.626
HBNC,0.943
PGC,0.819
NFBK,0.724
FFBC,1.064
UMBF,1.549
CCNE,0.867
FNLC,1.213
IBCP,1.641
VABK,1.318
OCFC,0.607
PNFP,1.212
WTFC,1.178
OPHC,0.521
THFF,0.983
SFBS,2.892
WABC,1.664
MVBF,0.91
WAFD,1.001
HTLF,1.164
FRAF,1.004
ESSA,0.75
HAFC,0.831
SF,2.138
SMBC,1.342
FBIZ,1.189
JPM,1.868
AFBI,1.095
LPLA,6.75
FXNC,0.905
SBFG,0.868
HFWA,0.904
PPBI,0.823
FVCB,0.001
NAVI,0.648
NBHC,1.312
ACNB,1.193
INDB,0.906
LARK,855.397
PBBK,0.824
TCBK,1.262
RJF,2.173
CFFI,0.877
HONE,0.926
UVSP,0.961
VLY,0.647
BSRR,1.199
SRCE,1.428
CAC,1.131
MSBI,0.623
CNOB,0.767
MS,1.616
CZFS,0.887
IBKR,3.487
ONB,1.007
FSBC,1.624
PEBO,1.014
FHN,1.019
GCBC,2.682
FDBC,1.455
STEL,0.901
GNTY,1.265
MTB,0.983
FMBH,1.177
BHB,1.088
SFST,0.801
RBCAA,1.403
BUSE,1.137
FULT,1.073
FBNC,1.209
COFS,1.059
SHBI,0.9
NYCB,0.371
MCBS,1.847
HBT,1.38
COF,0.941
SBSI,1.269
FNB,0.863
WSFS,1.278
CTBI,1.237
GABC,1.719
SYBT,1.948
HOMB,1.428
PIPR,3.805
FCCO,1.206
SFNC,0.755
FITB,1.49
BANF,2.312
PWOD,0.977
TRST,0.985
STBA,1.216
FLIC,0.756
FCBC,1.571
AUB,1.141
FRME,1.01
BOKF,1.254
WASH,1.153
BHRB,1.17
BSVN,1.896
GSBC,1.213
